RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
376,1,120,100,南京,50-150人,inn_kr2ow3oiwtm1,爱租哪，是为存量房租赁资产管理领域提供“系统+服务+平台”整合体系,2,5,"['上市公司', '周末双休', '五险一金', '员工福利多']",市场助理（实习）,互联网/游戏/软件,爱租哪,
377,3,150,150,上海,15-50人,inn_phpjqlgcbbd1,"国际化的工作环境,时间接收到前沿的科技资讯接触到更多与技术牛人，行业专家的面对面交流学习机会",3,5,"['多元文化', '国际化工作环', '实习佳地', '地理位置好', '前沿技术和视']",DigitalMarket(Intern),互联网/游戏/软件,TMO group,
378,1,120,100,广州,150-500人,inn_pff7qgpeayu7,国内领先的DT平台及云服务提供商,6,5,"['发展好', '年轻人的世界', '快乐实习', '实习就业', '上升空间大', '五险一金齐全', '创新产品']",人力资源实习生（2021届）,互联网/游戏/软件,云徙科技,
379,3,200,150,北京,15-50人,inn_vjigzopvlvfk,致力于为企业级行业客户提供针对互联网化、私有云管理平台、大数据业务基础架构的平台服务和IT整体解决方案的技术企业。,6,5,"['各种福利', '团队领导非常nice', '理性', '人体工学座椅', '开创未来', '团建活动;团队旅游']",大客户销售实习生,互联网/游戏/软件,精灵云科技,
380,10,150,100,佛山,2000人以上,inn_y7xzkmaazsi6,以机器人本体及其核心零部件、相关机器人核心技术，智能机器人系统的研发、智造、运营为业务内容的科技公司,4,5,"['高端人才合作', '知识产权', '互联网+']",人工智能自然语言处理实习生,互联网/游戏/软件,博智林机器人,
381,67,150,100,广州,500-2000人,inn_sevlmuahj9a9,亚洲、全球第二的移动数字营销平台,3,5,"['发展平台大', '三餐+下午茶', '团建活动', '股权激励', '部门聚餐 ', '环境优越', '扁平化组织', '发展空间巨大']",人力资源实习生 （招聘&HRBP方向）,互联网/游戏/软件,汇量科技,
382,7,150,120,南京,50-150人,inn_ptjdbemnnmsd,E-Learning行业的领导者,3,3,"['领导好', '年轻', '法定节假日', '一起成长']",校园代理,互联网/游戏/软件,天柏科技,
383,20,300,150,北京,150-500人,inn_wscw2bfdilfi,梅卡曼德机器人致力于将智能赋予工业机器人，拥有一支清华等海内外名校出身的工程师队伍。,3,5,"['机器学习', '五险一金', '饭补车补', '清华海归团队', '机器人智能', '计算机视觉']",机器人应用实习生,互联网/游戏/软件,梅卡曼德,
384,1,150,120,深圳,150-500人,inn_fac0lbzkj9mk,智道是一家科技驱动、用户导向、为客户提供智能网联汽车综合服务的高科技公司。,3,4,"['带薪年假', '五险一金 周末双休', '福利环境超好']",数据录入实习生,互联网/游戏/软件,蘑菇车联,
385,3,250,150,深圳,15-50人,inn_oaa5eydglz7z,一家崛起的跨境电商公司,6,5,"['创新&活跃', '提供留任机会', '节假日礼物', '专业指导', '自由度高']",速卖通运营,互联网/游戏/软件,简优品尚,
386,9,250,200,合肥,2000人以上,inn_xo5qkewv0jbe,全球领先的网络解决方案供应商,9,4,"['No.1IT公司', '工作生活平衡', '实习生转正机会', '薪酬福利杠杠的', '工作伙伴棒棒的', '工作环境悠闲的', '技术大牛多多的', 'HR姐姐敲nice']",Web部门–软件开发实习生–合肥-硕士,互联网/游戏/软件,思科,
387,8,200,150,宁波,2000人以上,inn_thjs28avt2dw,蔚来不仅仅是一家汽车企业。通过提供高性能的智能电动汽车与用户体验，蔚来致力于为用户创造愉悦的生活,6,4,"['旅游机会', '稳定高速增长', '互联网模式', '公司前景好', '地铁旁']",门店运营（NHS）实习生,互联网/游戏/软件,蔚来汽车,
388,5,150,120,上海,15-50人,inn_x9sdg2rszpov,“太子阅读”是上海滋润教育科技有限公司旗下的在线阅读课程品牌,3,5,"['定期团建', '百万级天使轮', '在线教育']",销售助理实习生,互联网/游戏/软件,太子阅读,
