maxsal,minsal,intern_num,city,scale,c_desc,month_num,day,c_tag,name,industry,c_name,
180,130,21,广州,500-2000人,一家专注于互联网营销服务圈的上市企业,3,4,"['资深大牛指导', '逗比工作氛围', '员工年度旅游', '免费体检，身体棒棒', '吃喝玩乐腐败金', '产品前景棒']",内容编辑实习生,互联网/游戏/软件,凡科,
180,150,2,北京,150-500人,中科三清科技有限公司是由中国科学院大气物理研究所和曙光信息产业股份有限公司共同投资成立的高科技企业。,3,5,['五险& 氛围'],环境实习生,互联网/游戏/软件,中科三清,
200,100,2,深圳,150-500人,专注资产管理行业超过14年的金融科技专家,6,5,"['高成长', '单身萌妹子多', '法定节假日', '周末双休、', '技术分享', '大咖级同事']",人力资源实习生,互联网/游戏/软件,览众科技,
300,250,10,广州,500-2000人,建筑行业知名的咨询及媒体信息平台,12,5,"['丰厚薪资待遇', '有培训有提升', '生日福利', '补充医疗保险', '年轻化', '80 90', '一起成长', '精英多多', '完善晋升空间', '发展平台大']",运营专员（偏客服方向）,互联网/游戏/软件,RCC瑞达恒,
100,100,22,成都,150-500人,让年轻人就业更简单,3,5,"['年轻人的世界', '实习可转正', '教育/培训/院校', '双休& 五险', '自由、平等', '定期团建腐败']",审核运营实习生,互联网/游戏/软件,萌想科技（实习僧）,
150,120,389,北京,2000人以上,中国的综合网络零售商,3,5,"['精英多多', '团队实力强', '锻炼自我', '专业、活力、创造', 'AI', '技术大牛坐镇', '精英', 'nice氛围', '创新']",用户运营岗-北京,互联网/游戏/软件,京东,
150,120,3,上海,少于15人,公司成立于2018年，地址在徐汇滨江中心。作为汽车行业内知名的猎头公司，我们专注汽车而不止于汽车 ,3,5,"['生日福利', '各种团建', '地铁直达', '可以转正']",猎头顾问,企业服务/咨询,嗨聊企业管理,
120,100,44,北京,2000人以上,一家专注产品和服务品质的专业地产公司,3,4,[],人力资源实习生（招聘方向）,房产/家居/物业/建筑,龙湖集团,
250,180,4,北京,50-150人,让体验世界更容易,3,5,"['行业大咖多', '开放式空间', '自助午餐', '免费健身房', '成长赋能', '超多福利', '绩效奖金', '股票期权', '独立咖啡厅', '六险一金']",新媒体实习生,互联网/游戏/软件,纯粹旅行,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",海外运营实习生（阿拉伯语）-Hago,互联网/游戏/软件,欢聚集团,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,5,"['工作环境超棒', '节日大礼包', '餐补']",海外运营（印地语） (MJ001787),互联网/游戏/软件,欢聚集团,
180,120,26,上海,2000人以上,国内家全品牌的连锁酒店管理集团,3,4,"['公平公正', '双休', '团队给力', '学习机会大', '环境开放', '签实习协议']",产品实习生,餐饮/酒店/旅游/娱乐,华住集团,
